name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
Turkey and Spinach Lasagna Rolls,https://images.eatthismuch.com/img/335617_missvictoria07_62925d6d-243e-4771-b219-640f37fe1d78.png,348,14g,27g,"1 roll of turkey and spinach lasagna rolls  contains 348 Calories. The macronutrient
  breakdown is 30% carbs, 37% fat, and 33% protein.  This is a good source of protein (52% of your Daily Value), potassium (14% of your Daily Value), and calcium (29% of your Daily Value).",15 minutes,40 minutes,"Directions Cook the lasagna noodles according to package directions. Drain and rinse the noodles and lay them flat on wax paper.

Heat oil in a large nonstick skillet over medium-high heat. Add the turkey, onion, and bell pepper and cook, stirring frequently, until all the pan juices evaporate and the turkey browns, about 10 minutes. Stir in the marinara sauce and water; bring to a boil. Reduce the heat and simmer, uncovered, until slightly thickened and the flavors blend, about 5 minutes.

Preheat the oven to 375 degrees F. Meanwhile, combine the ricotta, spinach, basil, Parmesan, egg, and nutmeg in a medium bowl. Spread the ricotta mixture over the length of each noodle and roll up from one short end.

Spread half of the turkey mixture in the bottom of an 8x12-inch baking dish. Add the rolls. Top with the remaining turkey mixture. Cover with foil and bake 30 minutes. Remove the foil and sprinkle with the mozzarella. Bake until heated through and the top is golden, about 10 minutes longer.",29,70
Pumpkin Ravioli,https://images.eatthismuch.com/img/3210458_ldementhon_4b424c99-6945-4e05-8180-c8c55d904da9.jpg,281,15g,27g,"1 serving of pumpkin ravioli  contains 281 Calories. The macronutrient
  breakdown is 39% carbs, 47% fat, and 13% protein.  This is a good source of protein (17% of your Daily Value), fiber (20% of your Daily Value), and calcium (16% of your Daily Value).",5 minutes,20 minutes,"Directions Boil a pot of lightly salted water and cook ravioli according to package directions. Make sure to save ¾-cup of pasta water once the ravioli have finished cooking.In a large skillet, sauté the onions and apples in butter and olive oil over high heat until they become tender and translucent, approximately 8 minutes. Stir often to avoid burning.Reduce heat to medium-low and add the white wine, thyme, sage, rosemary and black pepper. Cook for 5 minutes.Add the pumpkin and stir for an additional minute. Add the reserved pasta water and simmer on medium-low heat for an additional 8 minutes, or until sauce thickens.Add the ravioli to the pumpkin sauce and coat well. Portion out the ravioli, garnish with toasted almonds and enjoy!Recipe inspired by: http://feastonthecheap.net/ravioli-with-a-pumpkin-spiked-white-wine-reduction/",9,71
Open Face Veggie Hummus Lentil Toast,https://images.eatthismuch.com/img/3176769_Yiannislifelive_fe6eeff8-068a-4373-b4d6-a5ca08290c11.jpg,489,21g,53g,"1 serving of open face veggie hummus lentil toast  contains 489 Calories. The macronutrient
  breakdown is 41% carbs, 36% fat, and 23% protein.  This is a good source of protein (52% of your Daily Value), fiber (43% of your Daily Value), and potassium (20% of your Daily Value).",5 minutes,20 minutes,"Directions Prepare lentils as per package directions. Set aside.Toast Bread. Mix lentils, chopped celery and chopped tomatoes in a small bowl.Spread hummus over toast. Scoop lentil mixture on top of hummus. Add sprouts and pumpkin seeds on top for garnish.",29,72
Maple Baked Apples,https://images.eatthismuch.com/img/988547_elm333_1f090941-3f62-4ff9-8003-6bb64b6f64a0.jpg,448,15g,80g,"1 apple of maple baked apples  contains 448 Calories. The macronutrient
  breakdown is 67% carbs, 29% fat, and 4% protein.  This is a good source of fiber (24% of your Daily Value), potassium (11% of your Daily Value), and riboflavin (b2) (68% of your Daily Value).",10 minutes,55 minutes,"Directions Preheat oven to 400 degrees F.Using a paring knife, remove the apple cores and trim about a 1/2-inch slice from the bottom of each apple, so they sit flat. Place the apples in an ovenproof skillet or 8- to 9-inch baking dish.Drizzle with the syrup. Divide the walnuts and raisins among the apples, filling the cavities, and place any extra in the dish. Dot the apples with the butter. Bake until tender, 40 to 50 minutes.If using a baking dish, pour the liquid from the dish into a skillet. Bring to a boil over medium heat. Cook until it thickens slightly, 2 to 3 minutes. Spoon the sauce over the warm apples and serve with ice cream, if desired.",5,73
Moist Chocolate Muffins,https://images.eatthismuch.com/img/282855_simmyras_521fb8c7-c3e9-49cd-ab75-9338419d6116.png,323,15g,46g,"1 Muffin of moist chocolate muffins  contains 323 Calories. The macronutrient
  breakdown is 54% carbs, 40% fat, and 6% protein.  This has a relatively high calorie density, with 326 Calories per 100g.",15 minutes,20 minutes,"Directions Preheat oven to 400 degrees F. Grease 12 muffin cups or line with paper muffin liners.Combine flour, sugar, 3/4 cup of the chocolate chips, cocoa powder, and baking soda in a large bowl. Whisk egg, vanilla, yogurt, milk, and vegetable oil in another bowl until smooth; pour into chocolate mixture and stir until batter is just blended. Fill prepared muffin cups 3/4 full and sprinkle with remaining 1/4 cup chocolate chips.Bake in preheated oven until a toothpick inserted into the center comes out clean, about 20 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.Recipe inspired by: https://www.allrecipes.com/recipe/228553/moist-chocolate-muffins/",5,74
Balsamic Pork Chops,https://images.eatthismuch.com/img/230007_lyguajardo_43f055cf-0706-420a-b20a-2c54cbfe1684.png,523,31g,12g,"1 serving of balsamic pork chops  contains 523 Calories. The macronutrient
  breakdown is 10% carbs, 54% fat, and 36% protein.  This is a good source of protein (84% of your Daily Value), potassium (22% of your Daily Value), and calcium (22% of your Daily Value).",15 minutes,20 minutes,"Directions Heat 1 tablespoon oil in a skillet over medium heat. Stir in the onion and cook until golden brown. Set aside.Heat 1/2 tablespoon oil in the skillet. Season pork chops with salt, pepper, and garlic powder, and place in the skillet. Cook to desired doneness, about 5-8  minutes per side (depending on thickness). Set aside and keep warm.Heat remaining oil in the skillet. Return onions to skillet, and stir in tomatoes, garlic, and basil. Cook and stir about 3 minutes, until tomatoes are tender. Mix in balsamic vinegar, and season with salt and pepper. Top chops with the onion and tomato mixture, and sprinkle with feta cheese to serve.",47,75
Roasted Blueberry Quinoa Parfaits with Coconut Granola,https://images.eatthismuch.com/img/213332_Mz_1166ca73-38b5-41c8-9fe2-1d874fbb0bb7.png,713,43g,70g,"1 parfait of roasted blueberry quinoa parfaits with coconut granola  contains 713 Calories. The macronutrient
  breakdown is 37% carbs, 52% fat, and 11% protein.  This is a good source of protein (36% of your Daily Value), fiber (27% of your Daily Value), and potassium (15% of your Daily Value).",10 minutes,50 minutes,"Directions For granola: Preheat oven to 375 degrees F. Line a baking sheet with aluminum foil

In a large bowl, combine oats, coconut, sugar, cinnamon and salt. Melt coconut oil and add it to the oats, along with honey and vanilla; stir thoroughly to moisten. Spread on a baking sheet and bake for 20-25 minutes, tossing every 5 minutes. Remove and let sit for about 10 minutes to get crumbly.For parfaits: Preheat oven to 350 degrees F.

Place blueberries on a nonstick baking sheet with a pinch of salt. Place in the oven and roast for 20 minutes, or until berries start to burst. Set aside.While blueberries and granola are baking, add quinoa and coconut milk to a saucepan along with another pinch of salt and the coconut flakes. Bring mixture to a boil, then reduce to a simmer and cover, cooking for 15 minutes. Fluff with a fork.When ready, assemble parfaits with layers of yogurt, roasted blueberries, coconut quinoa and granola. Eat!",20,76
Raisin Granola Bars,https://images.eatthismuch.com/img/258528_wehr0034_b444305d-aa1d-4823-9de9-4940dd67bf9f.png,291,12g,45g,"1 bar of raisin granola bars  contains 291 Calories. The macronutrient
  breakdown is 58% carbs, 33% fat, and 9% protein.  This is a good source of fiber (15% of your Daily Value).",15 minutes,5 minutes,"Directions Heat peanut butter, sugar, and honey on medium heat until homogenous, 5 minutes.Add all other ingredients together with melted mixture. until mixed well. Press evenly into a 9x9"" pan.Cool completely in pan and cut into bars. Enjoy!",7,77
Chicken-Spinach Meatballs with Creamed Feta Spread,https://images.eatthismuch.com/img/295520_ale_marc_62067243-5e7c-4ce2-98ee-65e3b4c51ff5.png,432,32g,9g,"1 serving of chicken-spinach meatballs with creamed feta spread  contains 432 Calories. The macronutrient
  breakdown is 8% carbs, 65% fat, and 27% protein.  This is a good source of protein (54% of your Daily Value), potassium (16% of your Daily Value), and calcium (24% of your Daily Value).",15 minutes,20 minutes,"Directions Place spinach in the bowl of your food processor and pulse until finely chopped.
In a large bowl gently mix egg, onion, garlic, ground chicken, chopped spinach, Parmesan cheese, almond flour, lemon zest, chopped parsley, and salt until combined.
Scoop out about 2 tablespoons of chicken mixture and with dampened hands form into balls (you should get about 30) .
Heat 1 tbsp olive oil in a large (preferably non-stick) skillet, over medium heat. Add meatballs, and cook in batches, turning gently, until browned on all sides and cooked through, about 18 to 20 minutes.
Creamed feta spread: Put the feta, crème fraîche, cilantro, mint, and ⅛ teaspoon salt in the bowl of a small food processor and blitz for a couple of minutes, until a smooth, creamy spread forms. Keep in the fridge until needed.Serve meatballs and feta spread together and enjoy!",30,78
Slow-Cooker Eggplant Casserole,https://images.eatthismuch.com/img/285062_Mscree01_70558390-290e-40aa-ad3d-1fd967db3bd7.png,206,8g,20g,"1 serving of slow-cooker eggplant casserole  contains 206 Calories. The macronutrient
  breakdown is 38% carbs, 34% fat, and 28% protein.  This is a good source of protein (26% of your Daily Value), fiber (18% of your Daily Value), and potassium (16% of your Daily Value).",20 minutes,480 minutes,"Directions In a food processor, process cheeses, garlic, egg, ½ cup basil, and pepper until combined and smooth.
Mist a 5-6 qt slow cooker with cooking spray. Spread a thin layer of marinara (about 1/3 cup) over bottom of slow cooker. Arrange one-third of eggplant slices over sauce, overlapping edges. Spread half of cheese mixture over eggplant and then spoon one-third of remaining marinara evenly over top. Repeat with another one-third of eggplant, half of cheese mixture, and one-third of sauce, and finish with remaining one-third of eggplant and sauce.
Cover and cook on low for 6-8 hours. (TIP: If casserole is still watery, cook on high, uncovered, for an additional 10 minutes.) Garnish with additional basil. Enjoy!",15,79
Simple Carrot Soup,https://images.eatthismuch.com/img/906822_Fabian17_27302c6d-80e5-453d-9086-a62ce02818ff.jpeg,439,35g,32g,"1 serving of simple carrot soup (http://www.101cookbooks.com/archives/a-simple-carrot-soup-recipe.html) contains 439 Calories. The macronutrient
  breakdown is 27% carbs, 67% fat, and 6% protein.  This is a good source of fiber (31% of your Daily Value), potassium (24% of your Daily Value), and iron (57% of your Daily Value).",15 minutes,15 minutes,"Directions In a large soup pan over medium-high heat add the coconut oil and onion. Stir until the onions are well-coated, and allow to sauté until translucent, a few minutes. Stir in the curry paste, and then the carrots. Allow to cook another minute or two, and then add the coconut milk, salt, and water, adding more water to cover if needed. Allow to simmer until the carrots are tender, 10 - 15 minutes, and then purée using a blender or hand blender until the soup is completely silky smooth. This next part is important (with any soup) - make any needed adjustments. Add more water if the consistency needs to be thinned out a bit. After that taste for salt, adding more if needed. Season with a squeeze juice.Serve garnished with cilantro and almonds. Enjoy!",7,80
Bay Leaf Rice Pilaf,https://images.eatthismuch.com/img/56944_Shamarie84_ba3bb0ac-debc-4bbc-9554-2a81ac7d5448.png,246,4g,47g,"1 serving of bay leaf rice pilaf  contains 246 Calories. The macronutrient
  breakdown is 78% carbs, 15% fat, and 7% protein.  This has a relatively low calorie density, with 147 Calories per 100g.",10 minutes,35 minutes,"Directions Cook bay leaves in oil in a 1 1/2- to 2-quart heavy saucepan over moderate heat, turning over occasionally, until leaves are lightly browned, 2 to 3 minutes. Add garlic and cook, stirring, until pale golden, about 30 seconds. Add rice, salt, and pepper and cook, stirring gently to avoid breaking bay leaves, 1 minute. Add water and broth and bring to a full boil, uncovered, over high heat. Cover with a tight-fitting lid, then reduce heat to low and simmer until water is absorbed and rice is tender, about 15 minutes.Remove from heat and let stand, undisturbed, 5 minutes. Fluff rice with a fork and discard bay leaves.",5,81
Pork Chops with Horseradish Apples,https://images.eatthismuch.com/img/45445_elm333_1f86369e-4e54-45a2-b868-046f21d469b3.jpeg,457,22g,19g,"1 serving of pork chops with horseradish apples  contains 457 Calories. The macronutrient
  breakdown is 17% carbs, 45% fat, and 38% protein.  This is a good source of protein (75% of your Daily Value), potassium (19% of your Daily Value), and vitamin b6 (113% of your Daily Value).",20 minutes,40 minutes,"Directions Pat chops dry and season with 1 teaspoon salt and 1/2 teaspoon pepper.
 Peel and core the apples. Cut them into 1/3 inch wedges. Thinly slice the onions.Heat oil in a 12-inch heavy skillet over medium-high heat until it shimmers. Saut chops, turning once, until browned and cooked through, about 8 minutes. Transfer to a plate and keep warm, loosely covered.Reduce heat to medium and add onion, apples, and 1/8 teaspoon salt. Cook, stirring occasionally, until onion begins to soften, about 3 minutes. Add wine and water and simmer, covered, stirring occasionally, until apples are tender but not falling apart, about 12 minutes. Stir in horseradish, chives, and meat juices from plate. Season with salt and pepper. Serve chops with sauce.",42,82
Vegan Persimmon Squash Soup,https://images.eatthismuch.com/img/397491_erin_m_3d8fcbdd-73ed-46b2-a7b5-1092cfff72d3.png,160,12g,13g,"1 serving of vegan persimmon squash soup  contains 160 Calories. The macronutrient
  breakdown is 30% carbs, 63% fat, and 7% protein.  This is a good source of riboflavin (b2) (84% of your Daily Value).",10 minutes,30 minutes,"Directions Steam your cubed squash in a steamer or microwave until they are a little tender, about 60-90 seconds in the microwave.Cut off tops from persimmon and peel each if desired. Combine persimmon, squash, and broth in a blender until smooth.Transfer to a medium size pot and add in your oil, coconut milk, almond butter, nutritional yeast, and maple syrup. Place on medium low and stir until smooth and everything is mixed thoroughly. Add in your spices, stir, and simmer for 30 minutes. About 20 minutes into your simmer, the soup will thicken. Once it thickens, use an immersion blender in the pot to make extra creamy and smooth, or blend again or mix with a spoon repeatedly.Taste and adjust seasonings as needed. It should be a little sweet but smokey. Serve and top with a sprinkle of pepper. Enjoy!",3,83
Easy Candy Yams,https://images.eatthismuch.com/img/36652_Shamarie84_25ccee4e-5228-41f4-b0a9-8faa3e5f11db.png,246,2g,55g,"1 serving of easy candy yams  contains 246 Calories. The macronutrient
  breakdown is 88% carbs, 7% fat, and 4% protein.  This is a good source of fiber (14% of your Daily Value), potassium (10% of your Daily Value), and vitamin a (106% of your Daily Value).",5 minutes,40 minutes,"Directions Preheat oven to 325 degrees F (165 degrees C).Place sweet potatoes in an 8x8 inch square baking dish.  Pour caramel over potatoes.  Sprinkle with sugar and dot with butter.Bake in preheated oven 30 minutes, until potatoes are tender and mixture is bubbly.  Remove from oven and sprinkle marshmallows evenly over potatoes.  Return to oven until marshmallows are melted and browned, 5 to 10 minutes more.",3,84
Spicy Cauliflower Fried “Rice”,https://images.eatthismuch.com/img/320980_classic89_e20024e9-929c-4792-abdb-4266c67b3b01.png,193,7g,25g,"1 serving of spicy cauliflower fried “rice”  contains 193 Calories. The macronutrient
  breakdown is 49% carbs, 31% fat, and 20% protein.  This is a good source of protein (18% of your Daily Value), fiber (26% of your Daily Value), and potassium (18% of your Daily Value).",15 minutes,15 minutes,"Directions Chop head of cauliflower into florets and place in food processor. Pulse until it starts to resemble rice; set aside.Heat a large wok (or skillet) over medium heat and drizzle in sesame oil. Add onion, peas, and carrots, and sauté until tender and heated through, about 2-3 minutes.Meanwhile in a small bowl, whisk together soy sauce, brown sugar, ginger, and red pepper flakes; set aside.Slide veggie mixture to one side of the wok and add in the beaten eggs, scrambling until cooked through and then incorporate with the veggies.Stir in cauliflower ""rice"" and pour the soy sauce over top, mixing well. Cook for an additional 3 to 4 minutes, until cauliflower is soft and tender.Top with green onions, serve and enjoy!Recipe inspired by: http://www.eat-yourself-skinny.com/2015/09/healthy-cauliflower-fried-rice.html",10,85
Grapefruit and Avocado Salad with Ginger-Cassis Dressing,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,158,10g,16g,"1 serving of grapefruit and avocado salad with ginger-cassis dressing  contains 158 Calories. The macronutrient
  breakdown is 40% carbs, 57% fat, and 3% protein.  This is a good source of potassium (7% of your Daily Value), vitamin c (31% of your Daily Value), and vitamin k (31% of your Daily Value).",20 minutes,20 minutes,"Directions Peel and grate fresh ginger. Peel and pit avocado, then cut into thin slices. Separate lettuce leaves. Whisk first 5 ingredients in small bowl to blend. Season dressing very generously with salt and pepper.Cut off peel and white pith from grapefruits. Cut each grapefruit crosswise into 4 slices, then cut each slice crosswise in half. Arrange lettuce leaves on platter, tearing large ones in half. Top with grapefruit and avocado. Drizzle with dressing; sprinkle with salt and pepper.",1,86
Shrimp Summer Rolls,https://images.eatthismuch.com/img/357776_joshowers63_54ef9de3-9666-4e5b-baa9-abc1d8c3c059.png,307,1g,66g,"1 serving of shrimp summer rolls  contains 307 Calories. The macronutrient
  breakdown is 86% carbs, 2% fat, and 12% protein.  This is a good source of protein (17% of your Daily Value), vitamin b12 (28% of your Daily Value), and vitamin k (29% of your Daily Value).",20 minutes,5 minutes,"Directions To prepare rolls: Cook shrimp in boiling water just until curled and opaque in the center, 1 to 2 minutes. Drain and refresh under cold running water. Transfer to a clean cutting board to cool, then chopCombine the shrimp with sprouts, scallions, mint, 1 tablespoon fish sauce, and 1 tablespoon lime juice in a large bowl. 

Working with one wrapper at a time, soak in a large bowl of very warm water until softened, about 30 seconds. Place the soaked wrapper on a clean, damp kitchen towel. Put a generous 1/3 cup of the shrimp filling in the center, fold the wrapper over the filling and roll into a tight cylinder, folding in the sides as you go. Repeat with the remaining wrappers and filling.To prepare dipping sauce: Stir together 3 tablespoons lime juice, water, 2 tablespoons fish sauce, sugar, garlic, serrano (or crushed red pepper) and scallion in a small bowl until the sugar is dissolved.To serve, cut each roll in half and serve with the dipping sauce.",9,87
One Pot Spanish Chicken,https://images.eatthismuch.com/img/230403_hairythemonster_8377909a-c84d-44b9-805a-6e8c3a4d8cbc.png,252,6g,20g,"1 serving of one pot spanish chicken  contains 252 Calories. The macronutrient
  breakdown is 32% carbs, 21% fat, and 47% protein.  This is a good source of protein (53% of your Daily Value), fiber (15% of your Daily Value), and potassium (23% of your Daily Value).",30 minutes,30 minutes,"Directions Sauce: Heat the olive oil in a large, deep skillet over medium high heat. Add the onions and garlic. Scoop the juices, seeds, and flesh out of the tomatoes into the pan. Add the eggplant pieces and simmer the mixture for 5 minutes or until everything is soupy and softened. Place the scooped out tomato halves over the sauce, open side down. Simmer for a few minutes until the tomatoes have steamed and softened. Break them up in the pan and simmer for another 5-10 minutes to get all the flavors to meld.Blend: Transfer to a blender or food processor, purée until mixture reaches your desired consistency, and stir in the salt. Taste and adjust to you liking.Chicken and Potatoes: In the same pan, add one more quick drizzle of olive oil, and add the chicken and potato slices. Sprinkle with salt and pepper and seasoning. Sauté for a few minutes on each side until they are browned.Finish: Add the sauce back to the pan, cover, and simmer for 10 minutes or until the chicken and potatoes are fully cooked. Top with fresh parsley and serve. Enjoy!",30,88
Stuffed Pepper,https://images.eatthismuch.com/img/290521_barbarafurst_acb51016-0c25-40c2-9fb6-404932515328.png,679,35g,59g,"1 serving of stuffed pepper  contains 679 Calories. The macronutrient
  breakdown is 35% carbs, 46% fat, and 20% protein.  This is a good source of protein (60% of your Daily Value), fiber (23% of your Daily Value), and potassium (22% of your Daily Value).",10 minutes,45 minutes,"Directions Preheat oven to 350 degrees F.Bring a pot of water to boil. Cut peppers in half, removing the membrane and seeds. Boil for 3-5 minutes until they are flexible. Drain in a colander and set aside.

Cook rice in broth according to package directions. Set aside.

In a large frying pan, heat oil over medium-high. Add onion and sauté for 3-4 minutes Add garlic and sauté for another 30 seconds.
Add hot Italian sausage and cook until it’s no longer pink, breaking it up with your spatula as it cooks.

Add cooked rice, tomato sauce, Italian seasoning, and salt and pepper.  Cook until heated through, about 5 minutes.

Stuff peppers and place in a well-greased roasting dish. Top each pepper with shredded mozzarella and grated parmesan.
Roast for 15-20 minutes in the preheated oven. Enjoy!",34,89
Vegan Gluten Free Funfetti Muffins,https://images.eatthismuch.com/img/365407_eristwhile_ccd2be39-bb9c-4773-b671-eaf6cf666816.png,168,7g,26g,"1 serving of vegan gluten free funfetti muffins  contains 168 Calories. The macronutrient
  breakdown is 58% carbs, 34% fat, and 8% protein.  This has a relatively high calorie density, with 263 Calories per 100g.",20 minutes,25 minutes,"Directions Combine ground flaxseed with 2 1/2 tbsp water and let sit.Preheat the oven to 350 degrees and line 10-12 muffin tins with patty pans and set aside.

In a large mixing bowl, combine the dry ingredients and mix well.

In a small bowl, whisk the milk, vanilla extract, and flax ""egg"" mixture. Pour into the dry mixture. Add the melted nut butter and mix very well until a batter is formed. Stir through the sprinkles.

Using a 1/4 cup scoop, pour batter into the patty pans/muffin liners/muffin tin until almost full. Top with extra sprinkles and bake for 25-30 minutes, or until a toothpick or skewer comes out clean.

Remove from oven and allow to sit for 5 minutes, before removing and allowing to cool on a dry surface.",4,90
White Bean and Roasted Mushroom Soup,https://images.eatthismuch.com/img/215324_bmxpmp_d718c9d9-5f3e-45a7-b6f3-5c14c0be9c79.png,279,2g,49g,"1 serving of white bean and roasted mushroom soup  contains 279 Calories. The macronutrient
  breakdown is 69% carbs, 8% fat, and 24% protein.  This is a good source of protein (30% of your Daily Value), fiber (38% of your Daily Value), and potassium (23% of your Daily Value).",15 minutes,25 minutes,"Directions Preheat oven to 450 degrees F.Toss mushrooms, garlic, and onion in olive oil, 1 teaspoon salt, and 1 teaspoon pepper. Spread on baking sheet. Add sage leaves and stems of thyme. Roast in the oven for 10 minutes, toss and roast for additional 15 minutes.While vegetables are roasting, add broth, beans, ½ teaspoon salt, ½ teaspoon pepper, and 1 tablespoon fresh thyme leaves to a large stock pot over medium heat and simmer.When vegetables are done roasting, let cool slightly. Separate mushrooms from other roasted vegetables.Retrieve 2 cups of the white beans, and 1 cup of broth from the stock pot, add to a blender along with the roasted onions, garlic, and herbs. Cover and blend until smooth.Add puréed bean mixture back to stock pot, whisking in until smooth. Add roasted mushrooms to soup. Salt and pepper to taste.Warm over low heat until ready to serve. Enjoy!",17,91
Bisquick Bacon Gorgonzola Cheeseburger Pie,https://images.eatthismuch.com/img/213779_xenogirl_67d5e423-3937-49bf-a4a7-351ebc045386.png,420,29g,12g,"1 serving of bisquick bacon gorgonzola cheeseburger pie  contains 420 Calories. The macronutrient
  breakdown is 11% carbs, 63% fat, and 26% protein.  This is a good source of protein (49% of your Daily Value), potassium (9% of your Daily Value), and calcium (24% of your Daily Value).",15 minutes,40 minutes,"Directions Preheat oven to 400 degrees F.In a pan over medium-high heat add beef with onion and cook until meat is browned through. Meanwhile, cook bacon to until crispy. Drain over paper towels and chop.Mix milk, eggs, and Bisquick.In a 9"" pan layer meat and onion, then cheddar, bacon, blue cheese, and then top with Bisquick mix.Bake for 25 minutes or until set. Serve and enjoy!",27,92
Breakfast Carrot Cake,https://images.eatthismuch.com/img/302235_awesomeblood_3bee545e-861b-4611-aff8-9742323ba4fe.png,282,10g,44g,"1 serving of breakfast carrot cake  contains 282 Calories. The macronutrient
  breakdown is 60% carbs, 33% fat, and 7% protein.  This is a good source of calcium (18% of your Daily Value) and vitamin a (23% of your Daily Value).",15 minutes,15 minutes,"Directions Preheat oven to 375°F (190°C).In a large mixing bowl, combine the carrot juice, flour, sugar, both amounts of baking powder, salt, pumpkin, maple syrup, almond flour, sea salt, cayenne pepper, cinnamon, applesauce, and coconut oil. Stir until well combined.Gently fold in the chopped peaches and pecans.Line a 9x13 inch baking sheet or a standard loaf pan with parchment paper.  Pour the batter into the prepared pan and spread evenly.In a small bowl, combine the oats and sugar. Sprinkle this mixture evenly over the batter.Bake for 11-14 minutes for a sheet cake, or until golden brown and a toothpick inserted into the center comes out clean. A loaf pan will require approximately 30 minutes of baking time. Baking times may vary, so adjust accordingly.Remove from oven and let cool completely in the pan before slicing and serving. The cake will continue to firm up as it cools.Store leftovers in the refrigerator or freezer.",5,93
Perfect Roast Chicken,https://images.eatthismuch.com/img/288402_Mscree01_dfa3c351-7958-4b2b-9d16-5c0f5fe8c76f.png,349,24g,8g,"1 serving of perfect roast chicken  contains 349 Calories. The macronutrient
  breakdown is 9% carbs, 62% fat, and 29% protein.  This is a good source of protein (45% of your Daily Value), potassium (10% of your Daily Value), and vitamin a (66% of your Daily Value).",20 minutes,90 minutes,"Directions Preheat the oven to 425 degrees F.

Remove the chicken giblets. Rinse the chicken inside and out. Remove any excess fat and leftover pin feathers and pat the outside dry. Liberally salt and pepper the inside of the chicken. Stuff the cavity with the bunch of thyme, both halves of lemon, and all the garlic. Brush the outside of the chicken with the butter and sprinkle again with salt and pepper. Tie the legs together with kitchen string and tuck the wing tips under the body of the chicken. Place the onions, carrots, and fennel in a roasting pan. Toss with salt, pepper, 20 sprigs of thyme, and olive oil. Spread around the bottom of the roasting pan and place the chicken on top.

Roast the chicken for 1 1/2 hours, or until the juices run clear when you cut between a leg and thigh. Remove the chicken and vegetables to a platter and cover with aluminum foil for about 20 minutes. Slice the chicken onto a platter and serve it with the vegetables.



Recipe inspired by: http://www.foodnetwork.com/recipes/ina-garten/perfect-roast-chicken-recipe.html?oc=linkback",25,94
Chai Tea Latte,https://images.eatthismuch.com/img/306614_csherryd_270ebd01-0081-4804-88fd-868b8c72df30.png,150,11g,12g,"1 cup of chai tea latte  contains 150 Calories. The macronutrient
  breakdown is 31% carbs, 62% fat, and 7% protein.  This has a relatively low calorie density, with 54 Calories per 100g.",5 minutes,5 minutes,"Directions Steep the tea, making it as strong as you like, using whichever tea you prefer.In a small saucepan, combine the milk or half n half, cinnamon stick (you can use ground cinnamon instead), vanilla, peppercorns, cardamom, ground ginger, allspice, brown sugar, and nutmeg.Bring the milk to a simmer, turn it off and let it steep for about 5 minutes.Strain the milk through a fine mesh sieve.Froth up the milk with the milk frother (optional).Pour the milk into the tea. Spoon some of the foam (if you frothed the milk) on top of the Chai Tea Latte.",3,95
Couscous Black Bean and Corn Salad,https://images.eatthismuch.com/img/300498_kgines_78a9a1fe-0177-43ea-84b7-5b0cdd5085ad.png,779,17g,131g,"1 serving of couscous black bean and corn salad  contains 779 Calories. The macronutrient
  breakdown is 65% carbs, 20% fat, and 15% protein.  This is a good source of protein (53% of your Daily Value), fiber (85% of your Daily Value), and potassium (26% of your Daily Value).",15 minutes,10 minutes,"Directions In a large bowl add boiling vegetable broth to the couscous. Don’t put too much stock in; the ideal liquid level should be just enough to cover the couscous. 
Chop the spring and red onions into thin half slices. Chop the garlic.
Drain and rinse the beans and corn.
After 5 about five minutes the couscous should be ready; toss in the chopped onions, beans, and corn.
Add the olive oil, lemon juice, cumin, paprika powder, chilli flakes. Toss to coat well. Enjoy!",30,96
Roasted Sweet Potato and Black Bean Tacos,https://images.eatthismuch.com/img/232665_aelliottus_c89a3366-fe65-49ca-b20f-ab58b063c9ea.png,354,13g,51g,"1 Taco of roasted sweet potato and black bean tacos  contains 354 Calories. The macronutrient
  breakdown is 55% carbs, 31% fat, and 14% protein.  This is a good source of protein (24% of your Daily Value), fiber (37% of your Daily Value), and potassium (22% of your Daily Value).",5 minutes,25 minutes,"Directions Preheat oven to 400 degrees F.Toss the sweet potato cubes, onion wedges, olive oil, lime juice, cumin, chili powder, cayenne pepper, and salt in a bowl. Transfer to a rimmed baking sheet and bake for about 25 minutes, or until potatoes are tender, stirring halfway through cooking time. When potatoes are almost done, combine the black beans and salsa in a small saucepan. Cook
over medium heat until warmed through. Fill each taco with salsa beans and sweet potatoes, then finish with desired toppings (such as hot sauce, cheese, tomatoes, and sour cream) and a squeeze of lime juice.Enjoy!",13,97
Apple Crumble Supreme,https://images.eatthismuch.com/img/221522_scotjohns_bff7e420-3d3f-4459-b23c-4cdfb465ae0b.png,434,12g,87g,"1 serving of apple crumble supreme  contains 434 Calories. The macronutrient
  breakdown is 73% carbs, 22% fat, and 5% protein.  This is a good source of fiber (47% of your Daily Value), potassium (17% of your Daily Value), and magnesium (19% of your Daily Value).",5 minutes,15 minutes,"Directions Preheat oven to 350 degrees F.Peel, core, and chop apples.In a high-powered blender, combine one cup of the chopped apples with cinnamon, walnuts, dates, flaxseed, and soy milk. Pour over remaining chopped apples. Add raisins and mix well. Sprinkle oats on top.Bake for 15 minutes until golden brown. Enjoy!",6,98
